Year,Month,pr,tas,hurs,tasmin,tasmax,rolling_pr_3y,tas_range,Year_group
2015,1,129.17282,25.398188,82.37752,23.813705,26.982668,129.17282,3.1689630000000015,
2015,2,93.05277,25.951597,82.42989,24.212887,27.690306,222.22559,3.477419000000001,
2015,3,122.674355,26.711554,80.81524,24.76937,28.653738,344.899945,3.884368000000002,
2015,4,170.28499,27.14072,81.81628,25.220215,29.061226,515.184935,3.8410110000000017,
2015,5,131.95018,27.583876,81.14683,25.582886,29.584867,647.135115,4.001981000000001,
2015,6,166.55547,27.67741,81.560974,25.641489,29.713331,813.690585,4.071842,
2015,7,224.44014,27.208021,82.84526,25.286186,29.129856,1038.130725,3.8436699999999995,
2015,8,152.71498,27.397884,81.79044,25.402973,29.392796,1190.845705,3.9898230000000012,
2015,9,185.70094,27.470394,82.32139,25.506859,29.43393,1376.546645,3.9270710000000015,
2015,10,290.88397,27.112984,83.495415,25.158287,29.06768,1667.430615,3.909392999999998,
2015,11,314.15454,26.857075,84.4269,25.041283,28.672867,1981.585155,3.631584,
2015,12,349.29132,26.618664,84.592064,24.972336,28.264992,2330.876475,3.292656000000001,
2016,1,227.13109,26.390139,83.87449,24.742048,28.038227,2558.007565,3.2961789999999986,
2016,2,82.48843,26.963062,80.765,25.122843,28.803282,2640.4959949999998,3.680439,
2016,3,132.8935,27.422077,81.6898,25.597311,29.246843,2773.389495,3.649531999999997,
2016,4,139.77652,27.806112,80.534744,25.763432,29.848795,2913.166015,4.085362999999997,
2016,5,176.6419,28.15799,81.10372,26.150166,30.165813,3089.807915,4.015647000000001,
2016,6,147.08032,27.780518,80.42237,25.68922,29.871813,3236.888235,4.182593000000001,
2016,7,202.30574,27.45565,82.590904,25.465958,29.445343,3439.193975,3.9793850000000006,
2016,8,197.102,27.050877,82.02017,25.09587,29.005886,3636.295975,3.910015999999999,
2016,9,165.97495,27.233694,81.517944,25.239656,29.227734,3802.270925,3.9880780000000016,
2016,10,295.1336,26.890617,83.90178,24.990831,28.790403,4097.404525,3.7995720000000013,
2016,11,262.34525,27.106686,83.29694,25.280804,28.932568,4359.749775,3.651764,
2016,12,242.55617,26.628672,82.44623,24.927292,28.330051,4602.305945,3.4027589999999996,
2017,1,102.36946,25.911425,80.012405,24.185839,27.63701,4704.675405,3.4511709999999987,
2017,2,49.723324,26.107325,79.22574,24.208807,28.005836,4754.398729,3.7970289999999984,
