Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,Year,Month,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2015-01-16,157.74052,59.796856,82.37763,-0.67799526,25.343805,23.002373,27.685236,3.6990452140452086,18.12180976430976,2015,1,30.370545935545927,157.74052,157.74052,157.74052,4.682863000000001
2015-02-16,114.96963,59.64094,80.88388,-1.1878978,25.640196,23.162199,28.118189,6.085555555555556,16.19563492063492,2015,2,27.731944444444444,272.71015,272.71015,272.71015,4.95599
2015-03-16,201.69975,109.75271,82.43934,-0.98549145,26.140694,23.60161,28.67978,3.85477994227993,19.593829966329963,2015,3,30.95,474.4099,474.4099,474.4099,5.07817
2015-04-16,180.20811,97.853874,82.031235,-0.9086001,27.07852,24.358217,29.798822,2.748304473304468,23.84329966329965,2015,4,29.935942760942755,654.61801,654.61801,654.61801,5.4406050000000015
2015-05-16,177.4607,83.71824,81.850006,-1.1412216,27.607458,24.876158,30.33875,1.427329244829236,27.079611592111583,2015,5,30.95378787878787,832.07871,832.07871,832.07871,5.462592000000001
2015-06-16,194.22316,110.64111,82.163216,-0.9687896,27.181618,24.4981,29.865133,1.5580483405483334,26.03148629148629,2015,6,29.962121212121204,1026.30187,1026.30187,1026.30187,5.367032999999999
2015-07-16,195.00285,108.19221,81.91681,-0.9039104,26.93727,24.237495,29.63704,2.718145743145729,25.14391534391533,2015,7,30.95138888888889,1221.30472,1221.30472,1221.30472,5.399545
2015-08-16,125.197,61.65002,80.50785,-0.9711682,27.240072,24.364426,30.115715,3.640514670514664,19.46556036556036,2015,8,30.981944444444444,1346.50172,1346.50172,1346.50172,5.751289
2015-09-16,257.54996,113.89124,82.51224,-0.8519774,26.904486,24.171038,29.637932,0.7207407407407408,25.741589706589696,2015,9,29.915277777777774,1604.05168,1604.05168,1604.05168,5.466894
2015-10-16,286.09506,100.67117,83.16805,-1.0063993,26.631502,24.022238,29.240768,0.8267809042808912,29.17111111111111,2015,10,30.9522619047619,1890.1467400000001,1890.1467400000001,1890.1467400000001,5.218529999999998
2015-11-16,346.80942,114.02259,84.35666,-0.87157434,26.797918,24.304794,29.291044,0.0522222222222222,29.93996031746031,2015,11,29.91797619047618,2236.95616,2236.95616,2236.95616,4.986249999999998
2015-12-16,323.33823,106.67655,83.90479,-0.62764597,26.287775,23.911194,28.664358,0.7976587301587268,30.88964285714285,2015,12,30.916785714285705,2560.29439,2560.29439,2560.29439,4.753164000000002
2016-01-16,178.00829,70.57313,82.27949,-0.56481475,26.282522,23.895432,28.669615,3.969797979797975,12.413272005772004,2016,1,30.78374699374699,2738.30268,2738.30268,2580.5621600000004,4.774183000000001
2016-02-16,124.276436,62.077686,80.63444,-0.49750802,26.387415,23.822554,28.952276,5.448582251082246,15.344306156806146,2016,2,28.869444444444444,2862.579116,2862.579116,2589.868966,5.129722000000001
