Date,pr,Year,Month,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2015-01-16,145.67537,2015,1,55.965134,82.069176,-0.523096,25.311274,22.977758,27.644789,3.754546657046655,16.06079124579124,30.370545935545927,145.67537,145.67537,145.67537,4.667030999999998
2015-02-16,188.6842,2015,2,103.18166,82.63437,-0.6615798,25.733652,23.334,28.133307,3.7322955747955673,19.95542688792688,27.731944444444444,334.35956999999996,334.35956999999996,334.35956999999996,4.799306999999999
2015-03-16,93.470184,2015,3,47.369938,80.09842,-0.9909943,26.375452,23.561426,29.189482,6.780891053391041,17.06520442520442,30.95,427.829754,427.829754,427.829754,5.628056000000001
2015-04-16,156.05667,2015,4,82.85662,81.58453,-1.019082,26.916061,24.156588,29.675535,3.7981024531024414,20.47892736892736,29.935942760942755,583.886424,583.886424,583.886424,5.518947000000001
2015-05-16,139.2194,2015,5,63.40488,81.24525,-1.3116168,27.321976,24.538431,30.105522,2.6674410774410764,22.899506974506966,30.95378787878787,723.105824,723.105824,723.105824,5.567091000000001
2015-06-16,146.77718,2015,6,82.42897,81.16742,-1.4118338,27.57846,24.737448,30.419474,1.755759980759977,23.05532828282828,29.962121212121204,869.883004,869.883004,869.883004,5.6820260000000005
2015-07-16,150.25598,2015,7,84.10477,81.03452,-1.5852691,27.246874,24.398619,30.095137,4.040654160654155,20.69858585858585,30.95138888888889,1020.1389839999999,1020.1389839999999,1020.1389839999999,5.696518000000001
2015-08-16,160.26595,2015,8,79.7633,80.151085,-1.4967092,27.281942,24.371351,30.192528,5.869993987493982,18.39568422318421,30.981944444444444,1180.404934,1180.404934,1180.404934,5.821176999999999
2015-09-16,230.04771,2015,9,103.76023,82.1252,-1.4578444,26.864573,24.159002,29.570145,1.962184944684942,24.15542448292448,29.915277777777774,1410.452644,1410.452644,1410.452644,5.411142999999999
2015-10-16,284.79697,2015,10,100.22277,83.59841,-1.5601768,26.848694,24.264643,29.432747,0.2444696969696875,30.518991101491096,30.9522619047619,1695.2496139999998,1695.2496139999998,1695.2496139999998,5.168104
2015-11-16,263.01877,2015,11,88.143,82.40221,-1.7336217,26.93765,24.329794,29.545507,0.5897510822510764,29.0887542087542,29.91797619047618,1958.268384,1958.268384,1958.268384,5.215713000000001
2015-12-16,301.83987,2015,12,99.81555,84.00809,-1.6170393,26.64846,24.261225,29.035692,0.1790788840788773,30.93794492544492,30.916785714285705,2260.1082539999998,2260.1082539999998,2260.1082539999998,4.774467000000001
2016-01-16,239.60875,2016,1,94.855965,82.559746,-1.3359176,26.261545,23.898726,28.624369,3.018927368927361,17.3291895141895,30.78374699374699,2499.717004,2499.717004,2354.041634,4.725643000000002
2016-02-16,85.47614,2016,2,42.70813,79.55384,-1.6403624,26.285788,23.649393,28.922182,8.169438431938426,11.590070947570938,28.869444444444444,2585.193144,2585.193144,2250.8335739999998,5.2727889999999995
2016-03-16,131.15251,2016,3,61.42426,80.16953,-1.4710537,26.754852,24.027826,29.481874,5.675277777777778,16.76728595478595,30.966666666666665,2716.3456539999997,2716.3456539999997,2288.5159000000003,5.454048
2016-04-16,147.92842,2016,4,76.635826,81.22141,-1.4471121,27.442667,24.652128,30.23321,3.6185341510341433,20.61867484367484,29.981944444444444,2864.274074,2864.274074,2280.38765,5.5810819999999985
2016-05-16,217.56792,2016,5,101.03164,82.84614,-1.1744003,27.410433,24.79006,30.030807,1.6026984126984027,24.56032708032708,30.969444444444445,3081.841994,3081.841994,2358.7361699999997,5.240746999999999
2016-06-16,230.90459,2016,6,131.81041,83.407234,-0.8522656,27.445353,24.859232,30.031473,1.068336940836933,26.951214526214528,29.948021885521875,3312.746584,3312.746584,2442.86358,5.172241
2016-07-16,229.03955,2016,7,127.027885,82.60687,-0.5641752,27.211283,24.543165,29.879404,1.6460052910052896,24.48758417508417,30.95555555555556,3541.786134,3541.786134,2521.64715,5.336239000000003
2016-08-16,250.56294,2016,8,122.00965,82.63762,-0.25750223,27.276855,24.646057,29.907654,1.5228992303992244,28.12661736411736,30.95555555555556,3792.3490739999997,3792.3490739999997,2611.9441399999996,5.261597000000002
2016-09-16,258.0848,2016,9,115.734566,82.89655,-0.14810964,27.055254,24.428839,29.68167,1.225056517556505,27.88919552669552,29.9488492063492,4050.433874,4050.433874,2639.98123,5.2528310000000005
2016-10-16,297.5319,2016,10,105.63995,83.45869,-0.12847073,26.745298,24.188074,29.30252,0.1055555555555555,30.4072619047619,30.891877104377095,4347.965774,4347.965774,2652.71616,5.114446000000001
2016-11-16,309.5385,2016,11,101.20437,83.88654,0.029151728,26.792837,24.322805,29.262865,0.1143686868686805,29.831031746031734,29.95412698412698,4657.504274,4657.504274,2699.23589,4.940060000000003
2016-12-16,299.79276,2016,12,97.05895,83.7475,0.024696609,26.543577,24.219286,28.867868,1.5032539682539583,30.86757936507936,30.86575998075998,4957.297034,4957.297034,2697.1887800000004,4.648582000000001
2017-01-16,215.828,2017,1,86.17922,81.8878,-0.044351835,25.752169,23.385572,28.118769,5.507813852813843,10.909166666666666,30.64066257816257,5173.125034,5027.449664,2673.40803,4.7331970000000005
2017-02-16,268.70593,2017,2,171.41637,83.83137,0.57434,26.410957,24.04333,28.77858,2.2173088023087963,23.00786556036556,27.79069264069264,5441.830964,5107.471394,2856.63782,4.735250000000001
2017-03-16,238.24336,2017,3,132.57228,83.33239,0.86535996,26.627235,24.141638,29.112837,1.736269841269838,27.06083333333333,30.82537157287156,5680.074324,5252.24457,2963.7286700000004,4.971198999999999
2017-04-16,264.20584,2017,4,143.48291,83.566414,1.0958964,27.20916,24.668455,29.749868,0.3631746031745949,27.296428571428567,29.94300625300625,5944.280164,5360.3937399999995,3080.00609,5.081412999999998
2017-05-16,162.2716,2017,5,77.405266,80.537674,0.9677973,27.730146,24.894518,30.565775,4.477783790283785,29.030873015873013,30.99305555555556,6106.551764,5383.44594,3024.70977,5.671256999999997
2017-06-16,150.74437,2017,6,85.017235,81.33484,0.77821225,27.37947,24.619425,30.139519,2.5566786916786803,17.394254449254447,29.96388888888889,6257.296134,5387.41313,2944.54955,5.520094
2017-07-16,170.7585,2017,7,95.2736,81.55485,0.63750565,27.275427,24.547403,30.003448,2.660066137566134,19.46308441558441,30.927819865319854,6428.054634,5407.91565,2886.2685,5.456045
2017-08-16,189.19109,2017,8,94.01458,81.74061,0.46395394,27.14296,24.438223,29.8477,1.4804292929292824,25.120291005290994,30.934722222222224,6617.245724,5436.84079,2824.89665,5.409476999999999
2017-09-16,217.73256,2017,9,97.331604,81.786865,0.3394264,27.052872,24.250235,29.855507,1.8809066859066783,20.99712962962963,29.96388888888889,6834.978284,5424.52564,2784.5444100000004,5.605271999999999
2017-10-16,277.8927,2017,10,97.8612,83.083046,0.25672403,26.783266,24.127237,29.439295,0.1665019240019213,30.56365079365079,30.945833333333333,7112.870984,5417.62137,2764.9052100000004,5.312058
2017-11-16,273.3437,2017,11,89.945244,83.4941,0.13180552,26.79389,24.271896,29.315887,0.6002380952380902,29.60376984126984,29.95238095238095,7386.2146840000005,5427.9463,2728.71041,5.043990999999998
2017-12-16,323.23352,2017,12,105.096405,84.085045,0.23010083,26.75595,24.38916,29.122747,0.4075853775853704,30.44603174603173,30.9109644059644,7709.448204,5449.3399500000005,2752.15117,4.733587
2018-01-16,211.55257,2018,1,87.84943,82.36013,0.20622699,26.351318,24.011969,28.690668,4.667938912938912,18.675769600769595,30.92310125060124,7775.325404,5421.28377,2747.87574,4.678698999999998
2018-02-16,116.20248,2018,2,59.632996,80.58088,-0.3101509,26.773947,24.190186,29.35771,4.310151515151505,14.225811688311678,27.961111111111112,7702.843684,5452.01011,2595.3722900000002,5.167524
2018-03-16,152.35927,2018,3,74.92304,80.57371,-0.57008773,27.287394,24.54567,30.029114,5.23401875901875,19.61689273689273,30.98611111111111,7761.73277,5473.21687,2509.4882,5.483443999999999
2018-04-16,156.9286,2018,4,81.75931,80.432976,-0.9027708,27.63323,24.88565,30.380804,4.160236892736887,19.18553872053872,29.99305555555556,7762.6047,5482.21705,2402.2109600000003,5.495154000000003
2018-05-16,175.68929,2018,5,79.5906,81.117714,-0.83648753,27.785791,24.969576,30.602005,3.94615199615199,21.3318265993266,30.977777777777774,7799.07459,5440.33842,2415.62865,5.632428999999998
2018-06-16,140.40866,2018,6,79.29356,80.84005,-0.90250844,27.967178,25.150354,30.784004,2.28024170274169,24.73626142376141,29.995833333333334,7792.70607,5349.842490000001,2405.29294,5.633649999999999
2018-07-16,145.35878,2018,7,82.31879,80.00288,-1.1017357,27.614668,24.704956,30.524382,4.420107022607014,16.395286195286193,30.981944444444444,7787.80887,5266.16172,2379.89322,5.819426
2018-08-16,127.73641,2018,8,64.05131,79.69024,-1.388301,27.693071,24.757967,30.628174,3.8718278018278007,18.063630351130342,30.990277777777777,7755.27933,5143.335190000001,2318.43854,5.870207000000001
2018-09-16,231.36592,2018,9,102.54929,81.77064,-1.2920905,27.361969,24.602163,30.121775,0.5994588744588657,28.61298941798941,29.98611111111111,7756.59754,5116.616309999999,2332.0719,5.519611999999999
2018-10-16,262.55875,2018,10,93.1427,82.66678,-1.3440751,27.23352,24.558168,29.908873,1.0122270322270257,29.93548460798461,30.95,7734.35932,5081.64316,2316.7379499999997,5.350705000000001
2018-11-16,312.82852,2018,11,101.64576,83.64826,-1.2183833,26.995218,24.451342,29.539099,0.0528210678210648,29.8675,29.94417869167868,7784.16907,5084.93318,2356.22277,5.087757
