Date,pr,Year,Month,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2015-01-16,174.16106,2015,1,65.753334,82.49772,-0.42948198,25.256922,22.990618,27.523222,3.649595959595949,18.329416786916784,30.370545935545927,174.16106,174.16106,174.16106,4.532603999999999
2015-02-16,116.24532,2015,2,60.807312,81.865814,-0.8692333,26.007019,23.494024,28.52002,5.7428162578162505,16.657463924963913,27.731944444444444,290.40638,290.40638,290.40638,5.025995999999999
2015-03-16,157.14653,2015,3,82.423225,80.599884,-0.8914005,26.72745,23.959335,29.495567,7.936022126022118,16.20339706589706,30.95,447.55291,447.55291,447.55291,5.536232000000002
2015-04-16,198.29915,2015,4,117.34548,82.15768,-0.83861715,27.0432,24.34893,29.73747,3.151290283790278,23.885980038480035,29.935942760942755,645.8520599999999,645.8520599999999,645.8520599999999,5.388539999999999
2015-05-16,147.9261,2015,5,68.38984,81.43623,-1.1247653,27.42283,24.635523,30.210144,2.6330483405483336,24.209745069745058,30.95378787878787,793.77816,793.77816,793.77816,5.5746210000000005
2015-06-16,151.432,2015,6,84.77521,80.903534,-1.1900753,27.542555,24.722479,30.36263,3.344348244348241,21.4665897065897,29.962121212121204,945.21016,945.21016,945.21016,5.6401509999999995
2015-07-16,262.7793,2015,7,145.1845,83.02753,-0.82996184,26.97272,24.354431,29.59101,2.3968422318422222,24.72308802308801,30.95138888888889,1207.98946,1207.98946,1207.98946,5.236578999999999
2015-08-16,165.78302,2015,8,80.78229,81.401634,-0.71406883,27.26146,24.47985,30.043068,1.8742724867724767,23.934369889369883,30.981944444444444,1373.7724799999999,1373.7724799999999,1373.7724799999999,5.563218000000003
2015-09-16,214.93095,2015,9,97.07485,82.07961,-0.7585137,27.380117,24.646925,30.113312,0.8043073593073495,27.514858104858103,29.915277777777774,1588.70343,1588.70343,1588.70343,5.466387000000001
2015-10-16,309.92093,2015,10,109.78312,83.44611,-0.82489187,27.036322,24.388494,29.684145,0.1191606541606481,30.34900072150072,30.9522619047619,1898.6243599999998,1898.6243599999998,1898.6243599999998,5.295650999999999
2015-11-16,312.84323,2015,11,103.71265,83.93781,-0.83957976,26.831741,24.34418,29.319305,0.1035594035593981,30.0,29.91797619047618,2211.4675899999997,2211.4675899999997,2211.4675899999997,4.9751249999999985
2015-12-16,354.14297,2015,12,114.66262,84.288445,-0.4872056,26.603622,24.289766,28.917479,0.5217460317460301,30.372301587301585,30.916785714285705,2565.61056,2565.61056,2565.61056,4.627713
2016-01-16,264.0192,2016,1,112.30546,83.62159,-0.13523102,26.341986,23.981934,28.702034,3.4384800384800345,21.472621452621446,30.78374699374699,2829.62976,2829.62976,2655.4687,4.720100000000002
2016-02-16,106.37982,2016,2,55.16164,80.1528,-0.13390088,27.018972,24.359491,29.678444,5.727791005290996,21.90803872053872,28.869444444444444,2936.00958,2936.00958,2645.6032,5.3189530000000005
2016-03-16,170.52397,2016,3,87.468475,81.414925,-0.049285293,27.358007,24.746033,29.96998,3.2626154401154284,20.363051948051943,30.966666666666665,3106.53355,3106.53355,2658.98064,5.223946999999999
2016-04-16,172.76007,2016,4,91.2073,80.261116,-0.13454475,27.68283,24.826887,30.538778,5.705193602693599,19.91024410774409,29.981944444444444,3279.29362,3279.29362,2633.4415599999998,5.711891000000001
2016-05-16,193.1334,2016,5,89.77393,81.39384,-0.020320078,27.902578,25.161333,30.643824,2.034903799903796,29.0030327080327,30.969444444444445,3472.42702,3472.42702,2678.6488600000002,5.482491
2016-06-16,139.39339,2016,6,80.313255,80.53955,-0.079555534,27.58217,24.712912,30.451437,4.039639249639247,16.617124819624816,29.948021885521875,3611.82041,3611.82041,2666.6102499999997,5.738524999999999
2016-07-16,211.34834,2016,7,117.84055,82.24398,-0.2910871,27.359697,24.62471,30.094688,2.1193975468975346,20.372322029822023,30.95555555555556,3823.16875,3823.16875,2615.17929,5.469978000000001
2016-08-16,215.76025,2016,8,106.86826,81.65851,-0.10709533,26.955637,24.240568,29.670708,1.2546825396825347,24.725548340548333,30.95555555555556,4038.929,4038.929,2665.15652,5.4301400000000015
2016-09-16,181.07207,2016,9,82.4448,81.55323,-0.21384041,27.171812,24.39533,29.948288,1.9689562289562268,26.244629629629628,29.9488492063492,4220.00107,4220.00107,2631.29764,5.552958
2016-10-16,313.93893,2016,10,110.32816,83.60993,-0.19989856,26.860056,24.270096,29.450012,0.3224879749879629,29.745456950456944,30.891877104377095,4533.94,4533.94,2635.3156400000003,5.179916000000002
2016-11-16,268.15244,2016,11,87.54294,83.21499,-0.37471738,27.074457,24.530806,29.618116,0.4334644059643981,29.906944444444445,29.95412698412698,4802.09244,4802.09244,2590.62485,5.087310000000002
2016-12-16,243.6773,2016,12,78.127235,82.480286,-0.7998616,26.633112,24.229395,29.036829,1.81890331890331,28.2801984126984,30.86575998075998,5045.76974,5045.76974,2480.1591799999997,4.807434000000001
2017-01-16,126.63241,2017,1,47.96993,79.91015,-1.4583081,25.88987,23.41311,28.366625,8.385524290524282,14.281354016354006,30.64066257816257,5172.40215,4998.2410899999995,2342.77239,4.9535149999999994
2017-02-16,60.65508,2017,2,29.948141,78.245636,-1.6122493,26.23821,23.480417,28.995996,9.174589947089942,7.857116402116401,27.79069264069264,5233.05723,4942.65085,2297.04765,5.5155790000000025
2017-03-16,144.33484,2017,3,71.08203,80.467384,-1.5721892,26.956139,24.218878,29.6934,4.240393217893206,16.31318662818662,30.82537157287156,5377.39207,4929.8391599999995,2270.8585199999998,5.474522
2017-04-16,159.26588,2017,4,78.47228,81.18348,-1.607783,27.24291,24.489988,29.995834,3.019060846560845,20.59305675805675,29.94300625300625,5536.65795,4890.80589,2257.36433,5.505845999999998
2017-05-16,122.69143,2017,5,56.36127,80.44047,-1.9259443,27.5976,24.7102,30.485003,3.2138095238095143,19.302491582491573,30.99305555555556,5659.34938,4865.57122,2186.92236,5.774802999999999
2017-06-16,176.45409,2017,6,102.04357,82.14437,-1.7773329,27.41297,24.779348,30.04659,2.8737385762385648,26.193323713323707,29.96388888888889,5835.80347,4890.59331,2223.98306,5.2672419999999995
2017-07-16,162.31166,2017,7,90.298096,81.18768,-2.0142663,27.359228,24.545385,30.17307,4.777919672919664,19.187263107263103,30.927819865319854,5998.11513,4790.12567,2174.9463800000003,5.627685
2017-08-16,184.57442,2017,8,91.30909,80.8832,-2.0759938,27.519556,24.678314,30.3608,4.920713083213078,19.89227032227032,30.934722222222224,6182.68955,4808.91707,2143.76055,5.682486000000001
2017-09-16,231.34874,2017,9,102.63086,82.10258,-1.8874279,27.297571,24.552816,30.042326,1.257696007695995,26.91419672919672,29.96388888888889,6414.03829,4825.334860000001,2194.03722,5.489509999999999
2017-10-16,315.9071,2017,10,111.138954,83.62269,-1.897998,26.832329,24.224289,29.440363,0.1760317460317361,30.47015873015873,30.945833333333333,6729.94539,4831.32103,2196.0053900000003,5.2160740000000025
2017-11-16,297.19156,2017,11,96.755394,83.42158,-1.8532753,26.692215,24.22399,29.16044,0.2790644540644444,29.96603174603173,29.95238095238095,7027.13695,4815.66936,2225.04451,4.936450000000001
2017-12-16,342.2758,2017,12,109.3184,84.202576,-1.509662,26.559778,24.185797,28.933762,0.4816666666666667,30.49813492063492,30.9109644059644,7369.4127499999995,4803.80219,2323.64301,4.747965000000001
2018-01-16,211.5117,2018,1,87.75003,82.84853,-1.2616262,26.643442,24.278425,29.00846,3.320762385762373,21.08883237133236,30.92310125060124,7406.763389999999,4751.29469,2408.5222999999996,4.730035000000001
2018-02-16,97.06223,2018,2,50.73479,80.1176,-1.0032742,27.067163,24.433386,29.700943,5.0718831168831136,14.490955988455983,27.961111111111112,7387.5803,4741.9771,2444.9294499999996,5.267557
2018-03-16,112.74879,2018,3,53.630035,79.20212,-0.97529936,27.568659,24.781471,30.355844,6.216398508898506,12.833334535834526,30.98611111111111,7343.182559999999,4684.2019199999995,2413.3433999999997,5.574373000000001
2018-04-16,196.48763,2018,4,100.6296,81.75164,-0.76283866,27.63997,24.991858,30.288084,1.8370779220779168,22.535524290524283,29.99305555555556,7341.37104,4707.92948,2450.56515,5.296226000000001
2018-05-16,221.82751,2018,5,105.577324,82.47619,-0.42042145,27.810003,25.164452,30.455553,1.469897787397778,24.200780423280417,30.977777777777774,7415.27245,4736.62359,2549.70123,5.291100999999998
2018-06-16,180.82216,2018,6,99.51054,81.597786,-0.43817568,27.790518,25.051981,30.529055,1.9177429052428936,29.090196007696008,29.995833333333334,7444.66261,4778.05236,2554.0692999999997,5.477073999999998
2018-07-16,186.34894,2018,7,104.404686,81.37659,-0.39350843,27.498789,24.734077,30.263498,3.638353775853773,16.712532467532455,30.981944444444444,7368.23225,4753.05296,2578.10658,5.529420999999999
2018-08-16,191.20512,2018,8,92.71926,81.05039,-0.37162995,27.59258,24.77938,30.405783,3.299449254449248,17.88286796536795,30.990277777777777,7393.654350000001,4728.49783,2584.7372800000003,5.626403
2018-09-16,190.443,2018,9,84.65925,81.19721,-0.51729065,27.67761,24.872025,30.483194,1.329190716690706,26.72428932178932,29.98611111111111,7369.1664,4737.868759999999,2543.8315399999997,5.611169
2018-10-16,345.499,2018,10,123.51057,83.33991,-0.43331861,26.918045,24.351816,29.484274,0.073015873015868,30.8247619047619,30.95,7404.744470000001,4769.428830000001,2573.42344,5.132458
2018-11-16,313.37363,2018,11,105.279236,83.36667,-0.39238992,26.949602,24.440659,29.458544,0.2193987493987384,29.99873015873015,29.94417869167868,7405.274869999999,4814.650019999999,2589.6055100000003,5.017885
2018-12-16,352.83426,2018,12,114.44651,83.95031,-0.3583773,26.62504,24.31301,28.937075,1.1251370851370832,30.289642857142844,30.990238095238087,7403.96616,4923.80698,2600.1639699999996,4.624065000000002
