Year,Month,pr,tas,hurs,tasmax,tasmin
1958,10,302.87207,25.898668,83.50143,27.78427,24.013067
1958,11,297.6932,26.04745,83.33704,27.944656,24.150242
1958,12,399.90326,25.546556,85.05202,27.179455,23.913654
1959,1,254.08357,25.206059,84.21918,26.807386,23.60473
1959,2,155.25598,25.714132,83.51272,27.439072,23.989193
1959,3,157.22975,26.39781,82.40647,28.193819,24.6018
1959,4,127.76447,26.928728,80.69072,28.914793,24.94266
1959,5,182.1088,27.278744,81.41119,29.309324,25.24816
1959,6,117.23772,27.140888,79.61148,29.23449,25.047287
1959,7,163.7937,26.896456,80.32436,28.927387,24.865524
1959,8,232.27237,26.488081,82.61532,28.414366,24.561796
1959,9,221.42297,26.449795,81.914276,28.446285,24.453304
1959,10,309.40607,25.989002,83.71295,27.870707,24.107298
1959,11,251.25862,26.13364,83.21684,27.975674,24.291607
1959,12,277.08972,25.498886,83.1097,27.216005,23.781769
1960,1,143.10628,25.407019,82.0352,27.110422,23.703613
1960,2,130.8238,25.728016,82.16907,27.479647,23.97639
1960,3,170.59299,26.070948,81.03262,27.914005,24.22789
1960,4,151.11076,26.663488,81.280914,28.622496,24.704481
1960,5,172.3178,26.70738,82.18505,28.664553,24.750208
1960,6,179.82985,26.791784,81.99255,28.788534,24.795033
1960,7,160.18442,26.573448,80.94345,28.567997,24.578897
1960,8,164.76266,26.511972,82.109924,28.470982,24.552963
1960,9,214.65318,26.487644,82.52267,28.418634,24.556654
1960,10,211.52309,26.644772,82.022896,28.624714,24.66483
1960,11,305.91486,26.397337,83.39469,28.281778,24.512896
1960,12,337.4088,26.117516,84.32427,27.802742,24.432291
1961,1,219.22664,25.937656,84.45531,27.563288,24.312021
1961,2,77.74196,26.079216,79.86174,27.94773,24.210707
1961,3,177.39474,26.48565,82.53631,28.309443,24.661858
1961,4,181.25328,26.98117,82.33786,28.850084,25.112253
1961,5,210.6682,27.25616,82.40486,29.22979,25.282532
1961,6,189.92537,27.04976,81.40643,28.979507,25.120014
1961,7,182.75105,26.89897,81.42614,28.899496,24.898443
1961,8,216.96619,26.644005,82.2787,28.636604,24.651405
1961,9,239.99994,26.471548,82.73569,28.455402,24.487694
1961,10,260.40048,26.15503,82.91928,28.066471,24.243587
1961,11,328.4309,26.122807,84.081116,27.93987,24.30574
1961,12,253.09576,25.818485,83.577545,27.513626,24.123348
1962,1,224.81096,25.581886,84.27315,27.16567,23.998102
1962,2,182.0286,25.953726,83.62674,27.641182,24.266266
1962,3,169.77773,26.15505,82.678566,27.926281,24.38382
1962,4,171.77538,26.879648,82.585365,28.776537,24.98276
1962,5,218.06136,26.930826,82.27094,28.865412,24.996243
1962,6,188.29858,26.764996,82.09146,28.678576,24.851412
1962,7,190.75842,26.883184,82.2088,28.843225,24.92314
1962,8,135.93257,26.938435,81.03673,28.964718,24.912155
1962,9,244.54552,26.493568,82.60871,28.48348,24.503653
1962,10,256.93204,26.426357,82.86664,28.359793,24.492928
1962,11,324.28464,26.156485,84.05034,27.952576,24.36039
1962,12,276.84283,25.555416,83.26652,27.258307,23.852524
1963,1,182.87628,25.085316,82.08373,26.718351,23.452278
1963,2,227.57762,25.279837,85.11519,26.901049,23.658623
1963,3,186.31305,25.924492,83.43711,27.71882,24.130165
1963,4,148.97531,26.545761,82.095314,28.427282,24.664238
1963,5,133.43738,27.103153,81.256485,29.12541,25.080896
1963,6,192.61398,26.48883,81.36999,28.528063,24.449598
1963,7,133.64687,26.432217,80.72235,28.447477,24.416954
1963,8,131.98781,26.49795,80.32299,28.585382,24.410515
1963,9,257.0568,25.941942,83.369576,27.88238,24.001501
1963,10,304.16415,25.594097,83.23758,27.540436,23.64776
1963,11,260.18906,25.534979,84.66757,27.338278,23.73168
1963,12,309.43918,25.041033,84.83474,26.695002,23.387064
1964,1,167.10876,24.819174,82.79636,26.480097,23.158253
1964,2,106.02965,25.493505,81.95965,27.259214,23.727798
