Year,Month,Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd
1954,5,1954-05-16,232.68312,110.09695,82.42166,0.18465392,26.759377,24.100037,29.418715,0.6840319865319792,29.14396825396825,30.902353294853285
1954,6,1954-06-16,186.52937,107.97367,82.212685,0.22536857,26.608252,23.914186,29.302313,1.1921067821067708,26.215389610389607,29.855597643097635
1954,7,1954-07-16,131.07811,73.5548,80.52956,0.1360505,26.730932,23.877066,29.584799,3.3572077922077894,16.0716883116883,30.92028619528619
1954,8,1954-08-16,188.70308,93.81409,81.60487,0.11809224,26.078821,23.361328,28.796318,1.245110630110625,24.63265392015391,30.74549302549302
1954,9,1954-09-16,230.5804,106.6157,81.92527,0.070601046,25.63514,22.8984,28.371878,0.38446007696006945,28.983857623857617,29.645060125060116
1954,10,1954-10-16,260.35156,91.543884,83.3606,-0.0399583,25.887375,23.26591,28.508837,0.7177621452621412,30.23609066859066,30.800903078403067
1954,11,1954-11-16,241.73872,78.365974,82.42725,-0.21627665,25.637827,23.07998,28.195673,0.6856361231361111,29.695595238095233,29.747301587301582
1954,12,1954-12-16,290.63568,94.09562,84.570625,-0.07888218,25.3971,23.034578,27.759623,0.3432539682539583,30.35095238095237,30.590740740740742
1955,1,1955-01-16,200.69774,81.309235,82.96075,-0.10066702,25.427706,23.107277,27.748133,2.84781625781625,20.732081529581528,30.651107503607502
1955,2,1955-02-16,187.81187,112.91619,82.262115,-0.24022587,25.703718,23.241892,28.16554,3.00387566137566,20.51403198653198,27.75203222703222
1955,3,1955-03-16,162.66685,79.03494,81.23968,-0.4480487,26.282148,23.643354,28.920942,4.85791847041846,21.717121212121203,30.846885521885522
1955,4,1955-04-16,237.25264,123.97001,82.66724,-0.3740203,26.54201,23.939787,29.144236,0.9833441558441436,25.42066017316016,29.92361111111111
1955,5,1955-05-16,269.59915,121.88184,83.806786,-0.2610035,26.817513,24.304382,29.330637,0.33602934102932874,30.574206349206346,30.9125
1955,6,1955-06-16,250.57216,140.99458,83.2366,-0.055950176,26.628853,24.056519,29.201189,0.739525012025,28.414769119769108,29.836984126984124
1955,7,1955-07-16,207.02324,116.522545,81.95358,0.1596724,26.45326,23.74652,29.160004,1.1053018278018172,26.72343674843675,30.867087542087532
1955,8,1955-08-16,247.76964,120.291504,82.1628,0.34137926,26.186852,23.510569,28.863134,2.5246476671476623,25.30369047619047,30.752584175084166
1955,9,1955-09-16,235.29591,104.416504,81.77225,0.3153357,26.616266,23.849564,29.38297,0.8559956709956598,27.723170995670984,29.927896825396818
1955,10,1955-10-16,285.36578,101.92063,82.35143,0.37227473,26.404001,23.728357,29.079645,0.5976238576238542,30.46880952380951,30.833164983164977
1955,11,1955-11-16,268.12344,89.77515,82.615685,0.45845202,25.704252,23.170607,28.237898,1.0691762866762848,29.82646825396825,29.681088263588254
1955,12,1955-12-16,239.20233,78.15362,83.03754,0.33107272,25.40938,22.999817,27.818947,3.452840307840301,26.329072871572855,30.539409571909573
1956,1,1956-01-16,246.42969,100.78638,83.76122,0.50020874,25.586967,23.26354,27.910398,1.6751587301587267,21.853690476190476,30.463095238095235
1956,2,1956-02-16,155.69722,80.10614,81.86553,0.364066,25.549814,23.093582,28.006044,3.910631313131308,19.548174603174594,28.612641895141888
1956,3,1956-03-16,210.04303,115.09006,82.3138,0.5239226,26.007256,23.439362,28.57515,2.2641354016353934,21.626017316017304,30.79431818181817
1956,4,1956-04-16,185.36214,102.84619,81.69747,0.37785444,26.733812,23.964708,29.50292,2.2985401635401503,26.099905002405,29.90079966329965
1956,5,1956-05-16,202.79376,96.75976,81.45935,0.18763237,26.721277,23.984627,29.457926,1.6067496392496297,23.120579605579593,30.89679773929773
1956,6,1956-06-16,143.31082,79.906,80.4971,-0.16930294,26.466417,23.644533,29.288305,2.7224050024049884,22.41802669552669,29.840772005772003
1956,7,1956-07-16,108.25907,60.207287,79.60781,-0.56640273,26.513098,23.539513,29.486685,4.932570947570937,17.648469215969214,30.898442760942757
1956,8,1956-08-16,182.51564,90.62805,80.88468,-0.86261576,26.40943,23.569046,29.249811,2.263673641173634,22.332178932178923,30.88076238576237
1956,9,1956-09-16,216.7324,97.0489,81.30189,-0.9178507,26.261246,23.481333,29.041159,0.7913215488215393,28.6526455026455,29.842960557960545
1956,10,1956-10-16,250.50261,89.40427,82.37566,-1.0197018,25.96489,23.26003,28.669746,2.0064297739297685,28.294129389129385,30.776582491582488
1956,11,1956-11-16,329.82382,107.65713,84.186806,-0.8001875,25.55602,23.045792,28.066246,0.046108706108692124,29.965674603174595,29.544812409812398
1956,12,1956-12-16,272.51108,91.39874,83.617004,-0.7153209,25.184237,22.813883,27.554588,1.7896681096681017,30.91345238095237,30.289267676767675
1957,1,1957-01-16,254.9384,100.085846,84.04777,-0.72086906,24.97973,22.721903,27.237564,1.2455663780663657,21.596554834054828,29.737228234728228
1957,2,1957-02-16,85.27265,43.02115,80.36468,-1.012272,25.32235,22.721869,27.922827,5.994730639730637,19.184152236652235,27.663606301106295
1957,3,1957-03-16,155.88377,73.77088,80.12434,-1.154342,25.976118,23.221182,28.731056,6.310377585377581,14.056801346801343,30.846296296296295
1957,4,1957-04-16,175.06177,92.734505,81.656746,-1.1306621,26.525183,23.774782,29.275583,2.794971139971134,22.26401515151515,29.90277777777778
1957,5,1957-05-16,206.45027,93.75308,82.255554,-1.0636965,26.6878,24.035719,29.33988,1.8680627705627662,26.859479316979318,30.89154040404039
1957,6,1957-06-16,186.08626,105.62659,82.34489,-0.96350145,26.445211,23.754507,29.135916,1.014238816738808,27.050708273208265,29.838131313131306
1957,7,1957-07-16,157.04541,88.26388,81.342514,-0.8173938,26.471972,23.650717,29.293222,2.5596212121212036,25.189074074074075,30.87251683501683
1957,8,1957-08-16,149.77165,73.52728,80.4994,-0.9710472,26.382292,23.50472,29.259863,3.3004509379509264,24.21422198172198,30.88698412698412
1957,9,1957-09-16,236.59668,105.48364,82.05557,-0.8481457,26.263086,23.55847,28.967705,2.3460978835978823,27.530573593073587,29.832786195286193
1957,10,1957-10-16,288.47946,102.02564,83.43888,-0.69002414,25.897444,23.338186,28.456703,0.4433922558922454,30.76474867724867,30.767111592111586
1957,11,1957-11-16,311.30652,103.84766,83.7825,-0.7631476,25.68068,23.161184,28.20018,0.331218133718125,29.451043771043764,29.653330928330913
1957,12,1957-12-16,344.80386,109.82801,84.87615,-0.57457316,25.348145,23.055838,27.640451,0.6767460317460301,30.050079365079363,30.427641895141885
1958,1,1958-01-16,234.13924,100.13745,83.752174,-0.6424044,25.513367,23.189255,27.837479,1.3636724386724306,23.81870971620971,30.614183501683495
1958,2,1958-02-16,143.86052,74.01923,80.56481,-0.37975308,25.667883,23.053747,28.28202,6.8979304954304865,18.981044973544964,27.747495189995185
1958,3,1958-03-16,261.29044,147.5746,83.110435,0.05148958,26.146408,23.66629,28.62652,1.4280892255892246,27.320633718133717,30.78771043771043
1958,4,1958-04-16,203.0039,108.53647,82.27827,0.13715573,26.621758,23.94227,29.301245,1.3166534391534375,25.458664021164015,29.92373015873015
1958,5,1958-05-16,109.539856,53.153255,79.89066,-0.16030231,26.951838,24.003647,29.900032,4.227621452621447,25.527987012987,30.993055555555557
1958,6,1958-06-16,150.089,85.70515,81.024666,-0.290144,26.644028,23.86408,29.423975,2.295790043290035,20.180152717652707,29.91468855218854
1958,7,1958-07-16,198.17961,108.91105,82.28556,-0.19341362,26.54377,23.834045,29.253494,2.22147787397787,24.636843434343426,30.85143097643097
1958,8,1958-08-16,191.23248,94.56899,80.783264,-0.07589606,26.396902,23.59801,29.195793,3.426820586820579,19.594152236652235,30.80046536796536
1958,9,1958-09-16,183.58257,82.56426,81.5315,-0.2454396,26.431503,23.664146,29.198862,0.8501094276094213,29.142953342953337,29.86930375180375
1958,10,1958-10-16,310.37265,109.235985,83.76072,-0.19214256,25.70723,23.174318,28.240145,0.08646825396825232,30.623134920634918,30.68359066859066
1958,11,1958-11-16,288.38232,96.20803,83.60921,-0.27765548,25.82579,23.230774,28.420809,0.24596681096680556,29.979166666666668,29.71947691197691
1958,12,1958-12-16,369.905,120.33136,85.00175,-0.1933058,25.48501,23.222128,27.747894,0.6965079365079282,30.31238095238095,30.29727633477633
1959,1,1959-01-16,298.8234,120.32848,84.2044,0.05764677,25.173552,22.910833,27.436274,2.0305832130832058,24.896239778739766,30.172040644540637
