Year,Month,pr,tas,hurs,tasmin,tasmax,rolling_pr_3y,tas_range,Year_group
2015,1,116.29949,25.433863,82.01663,23.806387,27.061342,116.29949,3.254954999999999,
2015,2,144.90457,25.788671,82.604095,24.095879,27.481464,261.20406,3.385584999999999,
2015,3,74.821686,26.182123,80.165474,24.214155,28.150093,336.025746,3.9359379999999966,
2015,4,120.418976,26.963837,81.32873,24.967361,28.960314,456.444722,3.992953,
2015,5,128.96422,27.423683,81.26717,25.418798,29.428566,585.408942,4.009768000000001,
2015,6,136.31503,27.711739,81.53693,25.667068,29.756407,721.723972,4.089338999999999,
2015,7,151.4125,27.291475,81.409706,25.263182,29.319773,873.136472,4.056591000000001,
2015,8,129.35631,27.295519,80.823105,25.255016,29.336025,1002.492782,4.081008999999998,
2015,9,189.14626,27.005905,81.68886,25.039759,28.97205,1191.639042,3.9322909999999993,
2015,10,238.83078,27.012669,83.00094,25.126043,28.89929,1430.469822,3.7732470000000013,
2015,11,252.26799,27.132423,81.791245,25.219309,29.045538,1682.737812,3.8262290000000014,
2015,12,290.03207,26.773268,83.954094,25.073679,28.472857,1972.769882,3.3991780000000027,
2016,1,200.73549,26.354624,82.38787,24.699766,28.009487,2173.505372,3.3097209999999997,
2016,2,62.998104,26.297165,79.82377,24.482527,28.1118,2236.503476,3.6292729999999978,
2016,3,91.74366,26.663843,80.90874,24.7486,28.57908,2328.247136,3.8304800000000014,
2016,4,119.236465,27.415096,81.50149,25.411697,29.418491,2447.483601,4.006793999999999,
2016,5,185.80661,27.556177,82.42421,25.642555,29.469795,2633.290211,3.8272399999999998,
2016,6,193.48228,27.687246,82.59348,25.785528,29.588963,2826.772491,3.8034350000000003,
2016,7,214.8629,27.404423,82.70221,25.456322,29.352526,3041.6353910000003,3.896204000000001,
2016,8,201.47644,27.435953,82.36022,25.539396,29.33251,3243.111831,3.793113999999999,
2016,9,224.85779,27.108572,83.0186,25.20575,29.011396,3467.969621,3.805646000000003,
2016,10,272.94308,26.912237,83.55023,25.02132,28.803152,3740.912701,3.7818320000000014,
2016,11,313.3937,26.854189,84.147194,25.059954,28.648424,4054.3064010000003,3.5884699999999974,
2016,12,322.96243,26.601793,83.86911,24.9431,28.260487,4377.268831,3.317387,
2017,1,175.0437,25.770477,81.73233,24.088415,27.45254,4552.3125310000005,3.364124999999998,
2017,2,226.00037,26.349472,84.94069,24.7145,27.984444,4778.312901,3.269943999999999,
2017,3,192.68445,26.6064,84.08673,24.873728,28.339075,4970.997351,3.4653470000000013,
2017,4,219.96167,27.367699,83.55809,25.535234,29.200161,5190.959021,3.6649270000000023,
2017,5,185.69257,27.84162,81.60988,25.781273,29.901968,5376.651591,4.120695000000001,
2017,6,158.47594,27.504213,81.320045,25.490345,29.518084,5535.127531,4.027739,
2017,7,150.00137,27.38245,81.83399,25.414803,29.350098,5685.128901,3.935295,
2017,8,153.48302,27.27479,81.76242,25.34727,29.202307,5838.611921,3.8550369999999994,
2017,9,184.8517,27.16461,81.918526,25.1347,29.194517,6023.463621,4.0598170000000025,
2017,10,252.34068,26.949165,82.65775,24.98299,28.915339,6275.804301,3.9323489999999985,
2017,11,258.12274,26.895987,83.284325,25.070406,28.721571,6533.927041,3.6511650000000024,
2017,12,338.40256,26.771162,84.66327,25.08231,28.460014,6872.329601,3.3777040000000014,
2018,1,185.81935,26.325281,82.74366,24.69102,27.959541,6941.849461,3.268521,
2018,2,91.16542,26.676535,81.801025,24.905434,28.447634,6888.110311,3.542200000000001,
2018,3,109.767944,27.140549,81.32194,25.220135,29.060965,6923.056569,3.8408300000000004,
2018,4,126.39733,27.740046,80.42425,25.779165,29.700924,6929.034923,3.9217590000000015,
2018,5,153.28879,27.914707,81.00671,25.857353,29.972061,6953.359493,4.114708,
2018,6,137.40031,28.147749,80.90068,26.106148,30.18935,6954.444773,4.083202,
2018,7,150.94098,27.720058,80.31533,25.61926,29.820854,6953.973253,4.201594,
2018,8,120.2033,27.771303,80.34464,25.719423,29.823185,6944.820243,4.103762,
2018,9,198.29756,27.508402,81.74254,25.492516,29.52429,6953.971543000001,4.031774000000002,
2018,10,246.67323,27.355154,82.46007,25.391567,29.31874,6961.813993,3.927173,
2018,11,314.7446,27.05477,83.89803,25.20765,28.90189,7024.2906029999995,3.6942400000000006,
2018,12,284.3145,27.064833,84.45373,25.34762,28.78205,7018.573033000001,3.4344300000000025,
2019,1,197.42323,26.960732,83.247925,25.279144,28.64232,7015.260773000001,3.363176000000003,
2019,2,77.34092,26.943026,80.62097,25.108498,28.777552,7029.603589,3.669053999999999,
2019,3,56.623505,27.395441,79.29257,25.368168,29.422718,6994.483434,4.054549999999999,
2019,4,125.27033,28.015114,81.82933,26.038385,29.991842,7000.517299,3.9534569999999967,
2019,5,131.84052,28.36173,81.45921,26.325224,30.398237,6946.551208999999,4.073013000000003,
2019,6,217.89694,28.278217,82.50231,26.352148,30.204287,6970.965869000001,3.852139000000001,
2019,7,200.22856,28.073221,81.882545,26.069138,30.077305,6956.331529,4.008167,
